source,target,relation,similarity
user1,item17,owns,
user2,item9,owns,
user2,item13,owns,
user2,item16,owns,
user2,item5,owns,
user2,item12,owns,
user3,item15,owns,
user3,item14,owns,
user4,item10,owns,
user4,item1,owns,
user5,item18,owns,
user5,item3,owns,
user7,item11,owns,
user7,item2,owns,
user7,item4,owns,
user7,item7,owns,
user8,item19,owns,
user10,item20,owns,
user10,item8,owns,
user10,item6,owns,
item1,user10,wants,
item1,item2,similar,0.0
item1,item3,similar,0.97
item1,item4,similar,0.39
item1,item5,similar,0.1
item1,item6,similar,0.0
item1,item7,similar,0.0
item1,item8,similar,0.18
item1,item9,similar,0.0
item1,item10,similar,0.0
item1,item11,similar,0.78
item1,item12,similar,0.0
item1,item13,similar,0.0
item1,item14,similar,0.0
item1,item15,similar,0.0
item1,item16,similar,0.0
item1,item17,similar,0.0
item1,item18,similar,0.0
item1,item19,similar,0.0
item1,item20,similar,0.16
item2,item1,similar,0.75
item2,item3,similar,0.8
item2,item4,similar,0.53
item2,item5,similar,0.43
item2,item6,similar,0.23
item2,item7,similar,0.0
item2,item8,similar,0.0
item2,item9,similar,0.68
item2,item10,similar,0.25
item2,item11,similar,0.24
item2,item12,similar,0.0
item2,item13,similar,0.0
item2,item14,similar,0.2
item2,item15,similar,0.0
item2,item16,similar,0.18
item2,item17,similar,0.27
item2,item18,similar,0.97
item2,item19,similar,0.0
item2,item20,similar,0.3
item3,user7,wants,
item3,item1,similar,0.0
item3,item2,similar,0.0
item3,item4,similar,0.07
item3,item5,similar,0.0
item3,item6,similar,0.71
item3,item7,similar,0.0
item3,item8,similar,0.0
item3,item9,similar,0.0
item3,item10,similar,0.9
item3,item11,similar,0.11
item3,item12,similar,0.47
item3,item13,similar,0.0
item3,item14,similar,0.0
item3,item15,similar,0.63
item3,item16,similar,0.0
item3,item17,similar,0.0
item3,item18,similar,0.0
item3,item19,similar,0.66
item3,item20,similar,0.0
item4,item1,similar,0.0
item4,item2,similar,0.9
item4,item3,similar,0.94
item4,item5,similar,0.73
item4,item6,similar,0.84
item4,item7,similar,0.54
item4,item8,similar,0.0
item4,item9,similar,0.0
item4,item10,similar,0.03
item4,item11,similar,0.0
item4,item12,similar,0.44
item4,item13,similar,0.0
item4,item14,similar,0.01
item4,item15,similar,0.0
item4,item16,similar,0.68
item4,item17,similar,0.0
item4,item18,similar,0.0
item4,item19,similar,0.18
item4,item20,similar,0.0
item5,item1,similar,0.0
item5,item2,similar,0.71
item5,item3,similar,0.56
item5,item4,similar,0.0
item5,item6,similar,0.61
item5,item7,similar,0.0
item5,item8,similar,0.0
item5,item9,similar,0.46
item5,item10,similar,0.0
item5,item11,similar,0.14
item5,item12,similar,0.24
item5,item13,similar,0.0
item5,item14,similar,0.98
item5,item15,similar,0.25
item5,item16,similar,0.17
item5,item17,similar,0.0
item5,item18,similar,0.28
item5,item19,similar,0.0
item5,item20,similar,0.0
item6,user6,wants,
item6,item1,similar,0.15
item6,item2,similar,0.0
item6,item3,similar,0.0
item6,item4,similar,0.0
item6,item5,similar,0.0
item6,item7,similar,0.1
item6,item8,similar,0.73
item6,item9,similar,0.69
item6,item10,similar,0.0
item6,item11,similar,0.62
item6,item12,similar,0.0
item6,item13,similar,0.0
item6,item14,similar,0.48
item6,item15,similar,0.62
item6,item16,similar,0.0
item6,item17,similar,0.0
item6,item18,similar,0.0
item6,item19,similar,0.0
item6,item20,similar,0.0
item7,user10,wants,
item7,user7,wants,
item7,item1,similar,0.26
item7,item2,similar,0.87
item7,item3,similar,0.7
item7,item4,similar,0.0
item7,item5,similar,0.0
item7,item6,similar,0.52
item7,item8,similar,0.92
item7,item9,similar,0.0
item7,item10,similar,0.52
item7,item11,similar,0.54
item7,item12,similar,0.0
item7,item13,similar,0.0
item7,item14,similar,0.0
item7,item15,similar,0.0
item7,item16,similar,0.0
item7,item17,similar,0.38
item7,item18,similar,0.85
item7,item19,similar,0.0
item7,item20,similar,0.42
item8,user9,wants,
item8,item1,similar,0.0
item8,item2,similar,0.83
item8,item3,similar,0.0
item8,item4,similar,0.0
item8,item5,similar,0.0
item8,item6,similar,0.37
item8,item7,similar,0.0
item8,item9,similar,0.0
item8,item10,similar,0.72
item8,item11,similar,0.0
item8,item12,similar,0.0
item8,item13,similar,0.12
item8,item14,similar,0.0
item8,item15,similar,0.02
item8,item16,similar,0.0
item8,item17,similar,0.71
item8,item18,similar,0.0
item8,item19,similar,0.0
item8,item20,similar,0.95
item9,user9,wants,
item9,item1,similar,0.49
item9,item2,similar,0.0
item9,item3,similar,0.55
item9,item4,similar,0.61
item9,item5,similar,0.0
item9,item6,similar,0.0
item9,item7,similar,0.0
item9,item8,similar,0.96
item9,item10,similar,0.87
item9,item11,similar,0.61
item9,item12,similar,0.0
item9,item13,similar,0.0
item9,item14,similar,0.82
item9,item15,similar,0.42
item9,item16,similar,0.01
item9,item17,similar,0.0
item9,item18,similar,0.0
item9,item19,similar,0.0
item9,item20,similar,0.0
item10,item1,similar,0.19
item10,item2,similar,0.0
item10,item3,similar,0.54
item10,item4,similar,0.22
item10,item5,similar,0.47
item10,item6,similar,0.61
item10,item7,similar,0.0
item10,item8,similar,0.0
item10,item9,similar,0.92
item10,item11,similar,0.0
item10,item12,similar,0.0
item10,item13,similar,0.0
item10,item14,similar,0.0
item10,item15,similar,0.04
item10,item16,similar,0.0
item10,item17,similar,0.0
item10,item18,similar,0.32
item10,item19,similar,0.48
item10,item20,similar,0.62
item11,user8,wants,
item11,user3,wants,
item11,item1,similar,0.0
item11,item2,similar,0.0
item11,item3,similar,0.0
item11,item4,similar,0.0
item11,item5,similar,0.08
item11,item6,similar,0.0
item11,item7,similar,0.73
item11,item8,similar,0.0
item11,item9,similar,0.0
item11,item10,similar,0.23
item11,item12,similar,0.0
item11,item13,similar,0.57
item11,item14,similar,0.49
item11,item15,similar,0.98
item11,item16,similar,0.42
item11,item17,similar,0.0
item11,item18,similar,0.0
item11,item19,similar,0.0
