source,target,relation
user24,item22,views
user2,item63,rates
user7,item46,rates
user8,item26,views
user20,item25,rates
user23,item20,views
user2,item20,buys
user6,item36,views
user19,item62,rates
user26,item51,buys
user25,item59,rates
user28,item40,rates
user4,item10,buys
user20,item65,views
user2,item63,rates
user13,item5,rates
user4,item13,rates
user6,item60,views
user4,item37,buys
user27,item48,rates
user24,item8,views
user26,item52,views
user20,item10,views
user27,item4,views
user2,item56,buys
user13,item64,buys
user28,item12,buys
user25,item6,rates
user22,item44,views
user22,item19,buys
user16,item25,rates
user23,item19,views
user27,item30,views
user29,item47,rates
user17,item27,buys
user13,item5,buys
user19,item40,rates
user11,item50,views
user15,item68,rates
user5,item65,rates
user16,item70,rates
user9,item14,rates
user10,item28,buys
user23,item12,views
user18,item53,buys
user27,item65,buys
user27,item61,rates
user18,item51,rates
user6,item15,rates
user27,item35,views
user29,item21,views
user30,item12,rates
user25,item9,views
user20,item48,rates
user25,item59,views
user22,item20,rates
user14,item61,rates
user27,item53,buys
user4,item23,rates
user30,item5,buys
user26,item2,rates
user20,item17,views
user9,item63,rates
user5,item63,rates
user19,item35,rates
user5,item13,buys
user30,item49,views
user7,item8,buys
user18,item11,rates
user6,item67,buys
user11,item44,views
user27,item64,rates
user9,item63,buys
user9,item51,views
user19,item45,buys
user16,item38,buys
user26,item4,buys
user20,item36,rates
user27,item5,buys
user18,item47,buys
user11,item7,buys
user23,item52,buys
user4,item17,buys
user10,item13,views
user15,item45,buys
user30,item28,buys
user7,item10,rates
user28,item59,rates
user17,item65,views
user18,item20,buys
user25,item47,views
user8,item1,views
user20,item66,views
user20,item41,buys
user22,item58,buys
user6,item66,rates
user4,item60,rates
user5,item53,views
user29,item18,views
user6,item36,buys
user5,item25,buys
user6,item21,buys
user7,item65,buys
user30,item70,rates
user29,item25,buys
user30,item12,buys
user8,item4,rates
user2,item64,views
user1,item25,rates
user14,item46,rates
user30,item14,views
user17,item69,views
user27,item44,views
user7,item1,buys
user10,item23,views
user13,item69,buys
user13,item7,rates
user9,item17,buys
user22,item31,buys
user30,item37,rates
user27,item52,views
user25,item15,buys
user17,item40,buys
user19,item49,views
user6,item36,views
user12,item5,views
user29,item19,buys
user25,item69,rates
user23,item59,views
user6,item46,buys
user24,item54,buys
user25,item51,views
user29,item18,views
user9,item37,views
user30,item51,views
user16,item20,rates
user20,item24,rates
user8,item65,buys
user11,item62,views
user1,item66,rates
user5,item18,rates
user19,item6,rates
user18,item48,rates
user4,item45,views
user1,item44,views
user6,item48,buys
user21,item4,buys
user24,item46,views
user25,item6,views
user14,item36,rates
user12,item19,views
user16,item66,buys
user25,item66,views
user25,item3,buys
user20,item39,rates
user27,item19,buys
user13,item20,rates
user7,item70,buys
user17,item36,views
user5,item4,rates
user17,item6,buys
user13,item38,buys
user8,item28,buys
user26,item26,views
user4,item64,views
user26,item66,rates
user18,item4,rates
user7,item59,rates
user22,item66,views
user29,item50,views
user3,item25,rates
user17,item70,buys
user21,item15,buys
user6,item25,views
user13,item58,views
user10,item28,rates
user7,item64,views
user22,item43,views
user22,item17,views
user28,item41,rates
user3,item16,rates
user16,item68,views
user12,item51,rates
user4,item18,buys
user26,item51,views
user18,item56,rates
user15,item52,views
user10,item39,views
user7,item60,views
user21,item59,views
user22,item66,rates
user25,item16,rates
user9,item69,rates
user29,item66,rates
user21,item23,buys
user30,item51,buys
user19,item54,buys
user29,item31,views
user12,item33,views
user1,item9,rates
